room_id,day,shift,nurse_id,x
r0,0,early,n18,1
r1,0,early,n18,1
r2,0,early,n17,1
r3,0,early,n17,1
r4,0,early,n18,1
r6,0,early,n18,1
r7,0,early,n17,1
r8,0,early,n17,1
r0,0,late,n00,1
r1,0,late,n10,1
r2,0,late,n04,1
r3,0,late,n08,1
r4,0,late,n12,1
r6,0,late,n12,1
r7,0,late,n04,1
r8,0,late,n10,1
r0,0,night,n05,1
r1,0,night,n02,1
r2,0,night,n05,1
r3,0,night,n02,1
r4,0,night,n02,1
r6,0,night,n07,1
r7,0,night,n07,1
r8,0,night,n02,1
r0,1,early,n15,1
r1,1,early,n09,1
r2,1,early,n09,1
r3,1,early,n15,1
r4,1,early,n09,1
r5,1,early,n09,1
r6,1,early,n19,1
r7,1,early,n09,1
r8,1,early,n09,1
r0,1,late,n18,1
r1,1,late,n10,1
r2,1,late,n18,1
r3,1,late,n10,1
r4,1,late,n10,1
r5,1,late,n10,1
r6,1,late,n12,1
r7,1,late,n18,1
r8,1,late,n18,1
r0,1,night,n03,1
r1,1,night,n05,1
r2,1,night,n00,1
r3,1,night,n00,1
r4,1,night,n00,1
r5,1,night,n00,1
r6,1,night,n00,1
r7,1,night,n00,1
r8,1,night,n00,1
r0,2,early,n09,1
r1,2,early,n09,1
r2,2,early,n02,1
r3,2,early,n02,1
r4,2,early,n09,1
r5,2,early,n02,1
r6,2,early,n09,1
r7,2,early,n02,1
r8,2,early,n09,1
r0,2,late,n12,1
r1,2,late,n15,1
r2,2,late,n12,1
r3,2,late,n15,1
r4,2,late,n15,1
r5,2,late,n15,1
r6,2,late,n12,1
r7,2,late,n12,1
r8,2,late,n12,1
r0,2,night,n18,1
r1,2,night,n05,1
r2,2,night,n18,1
r3,2,night,n00,1
r4,2,night,n18,1
r5,2,night,n18,1
r6,2,night,n03,1
r7,2,night,n00,1
r8,2,night,n17,1
r0,3,early,n02,1
r1,3,early,n02,1
r2,3,early,n10,1
r3,3,early,n02,1
r4,3,early,n04,1
r5,3,early,n10,1
r6,3,early,n04,1
r7,3,early,n10,1
r8,3,early,n02,1
r0,3,late,n09,1
r1,3,late,n09,1
r2,3,late,n09,1
r3,3,late,n09,1
r4,3,late,n09,1
r5,3,late,n09,1
r6,3,late,n09,1
r7,3,late,n09,1
r8,3,late,n09,1
r0,3,night,n00,1
r1,3,night,n00,1
r2,3,night,n03,1
r3,3,night,n00,1
r4,3,night,n00,1
r5,3,night,n08,1
r6,3,night,n08,1
r7,3,night,n00,1
r8,3,night,n00,1
r0,4,early,n02,1
r1,4,early,n02,1
r2,4,early,n10,1
r3,4,early,n02,1
r4,4,early,n02,1
r5,4,early,n12,1
r6,4,early,n10,1
r7,4,early,n02,1
r8,4,early,n02,1
r0,4,late,n04,1
r1,4,late,n04,1
r2,4,late,n04,1
r3,4,late,n04,1
r4,4,late,n04,1
r5,4,late,n04,1
r6,4,late,n04,1
r7,4,late,n04,1
r8,4,late,n15,1
r0,4,night,n00,1
r1,4,night,n00,1
r2,4,night,n00,1
r3,4,night,n01,1
r4,4,night,n00,1
r5,4,night,n00,1
r6,4,night,n03,1
r7,4,night,n00,1
r8,4,night,n00,1
r0,5,early,n18,1
r1,5,early,n18,1
r2,5,early,n09,1
r3,5,early,n18,1
r4,5,early,n18,1
r5,5,early,n14,1
r6,5,early,n17,1
r7,5,early,n09,1
r8,5,early,n09,1
r0,5,late,n12,1
r1,5,late,n12,1
r2,5,late,n12,1
r3,5,late,n12,1
r4,5,late,n12,1
r5,5,late,n12,1
r6,5,late,n12,1
r7,5,late,n12,1
r8,5,late,n12,1
r0,5,night,n00,1
r1,5,night,n19,1
r2,5,night,n04,1
r3,5,night,n04,1
r4,5,night,n04,1
r5,5,night,n04,1
r6,5,night,n00,1
r7,5,night,n19,1
r8,5,night,n04,1
r0,6,early,n02,1
r1,6,early,n02,1
r2,6,early,n02,1
r3,6,early,n09,1
r4,6,early,n09,1
r5,6,early,n02,1
r6,6,early,n02,1
r7,6,early,n09,1
r8,6,early,n09,1
r0,6,late,n15,1
r1,6,late,n15,1
r2,6,late,n14,1
r3,6,late,n14,1
r4,6,late,n15,1
r5,6,late,n14,1
r6,6,late,n14,1
r7,6,late,n15,1
r8,6,late,n15,1
r0,6,night,n17,1
r1,6,night,n04,1
r2,6,night,n17,1
r3,6,night,n04,1
r4,6,night,n07,1
r5,6,night,n10,1
r6,6,night,n04,1
r7,6,night,n04,1
r8,6,night,n10,1
r0,7,early,n18,1
r1,7,early,n18,1
r2,7,early,n19,1
r3,7,early,n18,1
r4,7,early,n18,1
r5,7,early,n19,1
