room_id,day,shift,nurse_id,x
r0,0,early,n011,1
r1,0,early,n012,1
r2,0,early,n011,1
r3,0,early,n012,1
r4,0,early,n012,1
r5,0,early,n011,1
r6,0,early,n011,1
r0,0,late,n000,1
r1,0,late,n000,1
r2,0,late,n003,1
r3,0,late,n008,1
r4,0,late,n008,1
r5,0,late,n000,1
r6,0,late,n008,1
r0,0,night,n005,1
r1,0,night,n001,1
r2,0,night,n001,1
r3,0,night,n006,1
r4,0,night,n001,1
r5,0,night,n001,1
r6,0,night,n005,1
r0,1,early,n007,1
r1,1,early,n009,1
r2,1,early,n002,1
r3,1,early,n009,1
r4,1,early,n009,1
r5,1,early,n009,1
r6,1,early,n007,1
r0,1,late,n008,1
r1,1,late,n008,1
r2,1,late,n011,1
r3,1,late,n003,1
r4,1,late,n011,1
r5,1,late,n008,1
r6,1,late,n008,1
r0,1,night,n001,1
r1,1,night,n005,1
r2,1,night,n004,1
r3,1,night,n001,1
r4,1,night,n005,1
r5,1,night,n005,1
r6,1,night,n001,1
r0,2,early,n006,1
r1,2,early,n006,1
r2,2,early,n009,1
r3,2,early,n009,1
r4,2,early,n006,1
r5,2,early,n006,1
r6,2,early,n012,1
r0,2,late,n002,1
r1,2,late,n013,1
r2,2,late,n003,1
r3,2,late,n002,1
r4,2,late,n003,1
r5,2,late,n003,1
r6,2,late,n014,1
r0,2,night,n001,1
r1,2,night,n005,1
r2,2,night,n001,1
r3,2,night,n001,1
r4,2,night,n008,1
r5,2,night,n005,1
r6,2,night,n005,1
r0,3,early,n006,1
r1,3,early,n004,1
r2,3,early,n010,1
r3,3,early,n006,1
r4,3,early,n006,1
r5,3,early,n007,1
r6,3,early,n006,1
r0,3,late,n009,1
r1,3,late,n011,1
r2,3,late,n000,1
r3,3,late,n011,1
r4,3,late,n011,1
r5,3,late,n011,1
r6,3,late,n011,1
r0,3,night,n001,1
r1,3,night,n012,1
r2,3,night,n012,1
r3,3,night,n003,1
r4,3,night,n003,1
r5,3,night,n003,1
r6,3,night,n012,1
r0,4,early,n005,1
r1,4,early,n006,1
r2,4,early,n005,1
r3,4,early,n005,1
r4,4,early,n005,1
r5,4,early,n005,1
r6,4,early,n006,1
r0,4,late,n013,1
r1,4,late,n008,1
r2,4,late,n008,1
r3,4,late,n000,1
r4,4,late,n008,1
r5,4,late,n009,1
r6,4,late,n008,1
r0,4,night,n012,1
r1,4,night,n011,1
r2,4,night,n012,1
r3,4,night,n011,1
r4,4,night,n012,1
r5,4,night,n003,1
r6,4,night,n011,1
r0,5,early,n001,1
r1,5,early,n004,1
r2,5,early,n001,1
r3,5,early,n005,1
r4,5,early,n007,1
r5,5,early,n006,1
r6,5,early,n005,1
r0,5,late,n000,1
r1,5,late,n009,1
r2,5,late,n008,1
r3,5,late,n008,1
r4,5,late,n013,1
r5,5,late,n014,1
r6,5,late,n013,1
r0,5,night,n003,1
r1,5,night,n003,1
r2,5,night,n003,1
r3,5,night,n011,1
r4,5,night,n011,1
r5,5,night,n010,1
r6,5,night,n010,1
r0,6,early,n012,1
r1,6,early,n015,1
r2,6,early,n012,1
r3,6,early,n007,1
r4,6,early,n012,1
r5,6,early,n012,1
r6,6,early,n001,1
r0,6,late,n008,1
r1,6,late,n008,1
r2,6,late,n006,1
r3,6,late,n000,1
r4,6,late,n008,1
r5,6,late,n008,1
r6,6,late,n005,1
r0,6,night,n003,1
r1,6,night,n002,1
r2,6,night,n003,1
r3,6,night,n002,1
r4,6,night,n003,1
r5,6,night,n003,1
r6,6,night,n004,1
r0,7,early,n001,1
r1,7,early,n009,1
r2,7,early,n009,1
r3,7,early,n009,1
r4,7,early,n011,1
r5,7,early,n011,1
r6,7,early,n011,1
r0,7,late,n008,1
r1,7,late,n006,1
r2,7,late,n008,1
r3,7,late,n000,1
r4,7,late,n000,1
r5,7,late,n006,1
r6,7,late,n006,1
r0,7,night,n005,1
r1,7,night,n012,1
r2,7,night,n005,1
r3,7,night,n004,1
r4,7,night,n012,1
r5,7,night,n012,1
r6,7,night,n012,1
r0,8,early,n003,1
r1,8,early,n013,1
r2,8,early,n003,1
r3,8,early,n015,1
r4,8,early,n013,1
r5,8,early,n002,1
r6,8,early,n002,1
r0,8,late,n006,1
r1,8,late,n009,1
r2,8,late,n000,1
r3,8,late,n000,1
r4,8,late,n000,1
r5,8,late,n000,1
r6,8,late,n006,1
r0,8,night,n005,1
r1,8,night,n004,1
r2,8,night,n005,1
r3,8,night,n007,1
r4,8,night,n005,1
r5,8,night,n007,1
r6,8,night,n007,1
r0,9,early,n011,1
r1,9,early,n003,1
r2,9,early,n001,1
r3,9,early,n003,1
r4,9,early,n001,1
r5,9,early,n001,1
r6,9,early,n011,1
r0,9,late,n012,1
r1,9,late,n008,1
r2,9,late,n000,1
r3,9,late,n012,1
r4,9,late,n000,1
r5,9,late,n008,1
r6,9,late,n008,1
r0,9,night,n007,1
r1,9,night,n013,1
r2,9,night,n013,1
r3,9,night,n007,1
r4,9,night,n013,1
r5,9,night,n013,1
r6,9,night,n007,1
r0,10,early,n005,1
r1,10,early,n005,1
r2,10,early,n005,1
r3,10,early,n005,1
r4,10,early,n009,1
r5,10,early,n006,1
r6,10,early,n006,1
r0,10,late,n001,1
r1,10,late,n000,1
r2,10,late,n001,1
r3,10,late,n000,1
r4,10,late,n001,1
r5,10,late,n000,1
r6,10,late,n002,1
r0,10,night,n004,1
r1,10,night,n003,1
r2,10,night,n003,1
r3,10,night,n003,1
r4,10,night,n008,1
r5,10,night,n003,1
r6,10,night,n004,1
r0,11,early,n011,1
r1,11,early,n007,1
r2,11,early,n012,1
r3,11,early,n011,1
r4,11,early,n009,1
r5,11,early,n011,1
r6,11,early,n011,1
r0,11,late,n006,1
r1,11,late,n005,1
r2,11,late,n006,1
r3,11,late,n005,1
r4,11,late,n006,1
r5,11,late,n005,1
r6,11,late,n000,1
r0,11,night,n001,1
r1,11,night,n008,1
r2,11,night,n001,1
r3,11,night,n008,1
r4,11,night,n008,1
r5,11,night,n001,1
r6,11,night,n008,1
r0,12,early,n004,1
r1,12,early,n003,1
r2,12,early,n003,1
r3,12,early,n003,1
r4,12,early,n003,1
r5,12,early,n003,1
r6,12,early,n007,1
r0,12,late,n014,1
r1,12,late,n011,1
r2,12,late,n011,1
r3,12,late,n012,1
r4,12,late,n012,1
r5,12,late,n011,1
r6,12,late,n011,1
r0,12,night,n005,1
r1,12,night,n015,1
r2,12,night,n005,1
r3,12,night,n002,1
r4,12,night,n015,1
r5,12,night,n015,1
r6,12,night,n015,1
r0,13,early,n003,1
r1,13,early,n003,1
r2,13,early,n001,1
r3,13,early,n003,1
r4,13,early,n003,1
r5,13,early,n003,1
r6,13,early,n006,1
r0,13,late,n009,1
r1,13,late,n004,1
r2,13,late,n009,1
r3,13,late,n004,1
r4,13,late,n009,1
r5,13,late,n007,1
r6,13,late,n009,1
r0,13,night,n010,1
r1,13,night,n008,1
r2,13,night,n002,1
r3,13,night,n008,1
r4,13,night,n008,1
r5,13,night,n002,1
r6,13,night,n008,1
r0,14,early,n000,1
r1,14,early,n005,1
r2,14,early,n003,1
r3,14,early,n000,1
r4,14,early,n003,1
r5,14,early,n006,1
r6,14,early,n003,1
r0,14,late,n011,1
r1,14,late,n011,1
r2,14,late,n004,1
r3,14,late,n009,1
r4,14,late,n007,1
r5,14,late,n009,1
r6,14,late,n011,1
r0,14,night,n001,1
r1,14,night,n010,1
r2,14,night,n001,1
r3,14,night,n001,1
r4,14,night,n010,1
r5,14,night,n001,1
r6,14,night,n001,1
r0,15,early,n014,1
r1,15,early,n013,1
r2,15,early,n008,1
r3,15,early,n003,1
r4,15,early,n008,1
r5,15,early,n014,1
r6,15,early,n005,1
r0,15,late,n012,1
r1,15,late,n009,1
r2,15,late,n012,1
r3,15,late,n009,1
r4,15,late,n015,1
r5,15,late,n015,1
r6,15,late,n015,1
r0,15,night,n006,1
r1,15,night,n006,1
r2,15,night,n001,1
r3,15,night,n006,1
r4,15,night,n006,1
r5,15,night,n006,1
r6,15,night,n000,1
r0,16,early,n002,1
r1,16,early,n005,1
r2,16,early,n003,1
r3,16,early,n005,1
r4,16,early,n005,1
r5,16,early,n005,1
r6,16,early,n003,1
r0,16,late,n008,1
r1,16,late,n008,1
r2,16,late,n011,1
r3,16,late,n011,1
r4,16,late,n008,1
r5,16,late,n004,1
r6,16,late,n004,1
r0,16,night,n000,1
r1,16,night,n000,1
r2,16,night,n009,1
r3,16,night,n000,1
r4,16,night,n012,1
r5,16,night,n000,1
r6,16,night,n012,1
r0,17,early,n007,1
r1,17,early,n013,1
r2,17,early,n005,1
r3,17,early,n001,1
r4,17,early,n005,1
r5,17,early,n001,1
r6,17,early,n005,1
r0,17,late,n008,1
r1,17,late,n008,1
r2,17,late,n008,1
r3,17,late,n008,1
r4,17,late,n004,1
r5,17,late,n008,1
r6,17,late,n008,1
r0,17,night,n009,1
r1,17,night,n003,1
r2,17,night,n009,1
r3,17,night,n009,1
r4,17,night,n009,1
r5,17,night,n009,1
r6,17,night,n011,1
r0,18,early,n001,1
r1,18,early,n007,1
r2,18,early,n001,1
r3,18,early,n012,1
r4,18,early,n006,1
r5,18,early,n006,1
r6,18,early,n006,1
r0,18,late,n000,1
r1,18,late,n010,1
r2,18,late,n008,1
r3,18,late,n013,1
r4,18,late,n013,1
r5,18,late,n000,1
r6,18,late,n008,1
r0,18,night,n002,1
r1,18,night,n004,1
r2,18,night,n009,1
r3,18,night,n009,1
r4,18,night,n002,1
r5,18,night,n009,1
r6,18,night,n004,1
r0,19,early,n005,1
r2,19,early,n007,1
r3,19,early,n006,1
r4,19,early,n001,1
r5,19,early,n001,1
r6,19,early,n001,1
r0,19,late,n013,1
r2,19,late,n010,1
r3,19,late,n013,1
r4,19,late,n013,1
r5,19,late,n011,1
r6,19,late,n011,1
r0,19,night,n000,1
r2,19,night,n002,1
r3,19,night,n008,1
r4,19,night,n004,1
r5,19,night,n004,1
r6,19,night,n004,1
r0,20,early,n015,1
r2,20,early,n005,1
r4,20,early,n006,1
r5,20,early,n015,1
r6,20,early,n015,1
r0,20,late,n003,1
r2,20,late,n009,1
r4,20,late,n003,1
r5,20,late,n009,1
r6,20,late,n009,1
r0,20,night,n002,1
r2,20,night,n008,1
r4,20,night,n008,1
r5,20,night,n000,1
r6,20,night,n002,1
